institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
UNIVERSITY-OF-MAINE-PRESQUE-ISLE,regional-colleges-north,UMaine--Presque Isle University of Maine Presque Isle,ME,Presque Isle,04769,north,True,public,,#36,36,True,,,100,14325,,,,1573,,,,N/A,N/A
UNIVERSITY-OF-MARY,national-universities,,ND,Bismarck,58504,,True,private,,#376,376,True,,,79,21062,,,,2579,,,,N/A,N/A
UNIVERSITY-OF-MARY-HARDIN-BAYLOR,national-universities,University of Mary Hardin Baylor,TX,Belton,76513,,True,private,,#394-435,-1,False,19,,96,33150,3.6,< 2.0,,3072,,970,,970-1200,19-27
UNIVERSITY-OF-MARYLAND-BALTIMORE,special-focus-research,University of Maryland Baltimore,MD,Baltimore,21201,,True,public,,Unranked,-2,False,,,,42654,,,,930,,,,N/A,N/A
UNIVERSITY-OF-MARYLAND-BALTIMORE-COUNTY,national-universities,UMBC University of Maryland Baltimore County,MD,Baltimore,21250,,True,public,,#133,133,True,23,69,81,30308,3.9,2.6,,10625,,1210,35406.0,1210-1400,23-29
UNIVERSITY-OF-MARYLAND-COLLEGE-PARK,national-universities,UMD UMCP University of Maryland College Park,MD,College Park,20742,,True,public,,#46,46,False,30,16,44,40306,,3.8,,30353,3.8,1360,45895.0,1360-1520,30-34
UNIVERSITY-OF-MARYLAND-EASTERN-SHORE,national-universities,University of Maryland Eastern Shore,MD,Princess Anne,21853,,True,public,,#369,369,True,17,,81,19728,2.9,2.3,,1933,2.0,840,,840-1040,17-22
UNIVERSITY-OF-MARYLAND-GLOBAL-CAMPUS,regional-universities-north,UMUC University of Maryland University College,MD,Adelphi,20783,north,True,public,,#151-167,-1,False,,,,12336,,,,45100,,,,N/A,N/A
UNIVERSITY-OF-MARY-WASHINGTON,national-liberal-arts-colleges,,VA,Fredericksburg,22401,,True,public,,#154,154,False,25,,86,31154,3.6,,,3493,2.0,1170,,1170-1340,25-30
UNIVERSITY-OF-MASSACHUSETTS-AMHERST,national-universities,UMass Amherst University of Massachusetts Amherst,MA,Amherst,01003,,True,public,,#67,67,True,29,30,64,39293,,3.0,,24391,3.4,1260,40079.0,1260-1480,29-33
