institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
THE-COLLEGE-OF-NEW-JERSEY,regional-universities-north,,NJ,Ewing,08628,north,True,public,,#4,4,True,24,20,64,30774,,2.8,,7039,2.3,1140,47219.0,1140-1350,24-30
COLLEGE-OF-SAINT-MARY,regional-universities-midwest,College of St Mary College of Saint Mary,NE,Omaha,68106,midwest,True,private,,#76,76,True,18,71,76,23340,3.4,,,540,,1010,19795.0,1010-1200,18-24
THE-COLLEGE-OF-SAINT-ROSE,regional-universities-north,College of St Rose College of Saint Rose,NY,Albany,12203,north,True,private,,#119,119,True,,,76,37452,,,,1798,,,,N/A,N/A
COLLEGE-OF-SOUTHERN-NEVADA,regional-colleges-west,,NV,Las Vegas,89146,west,True,public,,Unranked,-2,False,,,,11869,,,,29942,,,,N/A,N/A
COLLEGE-OF-ST.-BENEDICT,national-liberal-arts-colleges,College of St Benedict College of Saint Benedict,MN,St. Joseph,56321,,True,private,,#73,73,True,20,67,88,53884,3.7,,,1443,,1055,29455.0,1055-1245,20-27
THE-COLLEGE-OF-ST.-SCHOLASTICA,national-universities,College of St Scholastica College of Saint Scholastica,MN,Duluth,55811,,True,private,,#216,216,True,22,44,83,40454,3.5,,,1938,,1088,45180.0,1088-1180,22-27
COLLEGE-OF-THE-ATLANTIC,national-liberal-arts-colleges,,ME,Bar Harbor,04609,,True,private,,#156,156,True,27,,60,46179,3.8,,,377,,1230,,1230-1460,27-32
COLLEGE-OF-THE-HOLY-CROSS,national-liberal-arts-colleges,,MA,Worcester,01610,,True,private,,#27,27,True,28,39,36,60850,,,,3233,,1260,34577.0,1260-1430,28-32
COLLEGE-OF-THE-OZARKS,regional-colleges-midwest,,MO,Point Lookout,65726,midwest,True,private,,#3,3,True,20,90,21,20990,3.6,2.1,,1487,,1065,18630.0,1065-1235,20-25
THE-COLLEGE-OF-WESTCHESTER,regional-colleges-north,,NY,White Plains,10606,north,True,proprietary,,#33,33,False,,,98,23598,,,,873,,,,N/A,N/A
THE-COLLEGE-OF-WOOSTER,national-liberal-arts-colleges,,OH,Wooster,44691,,True,private,,#75,75,True,27,64,56,59550,3.7,,,1967,,1250,31608.0,1250-1450,27-32
COLORADO-CHRISTIAN-UNIVERSITY,regional-universities-west,,CO,Lakewood,80226,west,True,private,,#51,51,False,23,,,39266,,,,7602,,1130,,1130-1370,23-30
COLORADO-COLLEGE,national-liberal-arts-colleges,,CO,Colorado Springs,80903,,True,private,,#33,33,False,,,14,65028,,,,2241,,,,N/A,N/A
COLORADO-MESA-UNIVERSITY,regional-colleges-west,,CO,Grand Junction,81501,west,True,public,,#20,20,True,18,,64,26034,3.3,,,8681,,930,,930-1180,18-25
COLORADO-MOUNTAIN-COLLEGE,regional-colleges-west,,CO,Glenwood Springs,81601,west,True,public,,#43,43,True,,,,11820,,,,5184,,,,N/A,N/A
COLORADO-SCHOOL-OF-MINES,national-universities,,CO,Golden,80401,,True,public,,#76,76,True,30,34,58,42120,3.9,3.4,,5733,,1330,48668.0,1330-1490,30-33
COLORADO-STATE-UNIVERSITY,national-universities,,CO,Fort Collins,80523,,True,public,,#151,151,True,23,15,91,33752,3.7,2.8,,26062,3.1,1070,44854.0,1070-1290,23-29
COLORADO-STATE-UNIVERSITY-PUEBLO,regional-universities-west,Colorado State University Pueblo Colorado State University Pueblo,CO,Pueblo,81001,west,True,public,,#82,82,True,17,,99,21479,3.3,2.8,,4772,2.2,900,,900-1150,17-25
COLORADO-TECHNICAL-UNIVERSITY,national-universities,,CO,Colorado Springs,80907,,True,proprietary,,#395-435,-1,False,,,,12696,,2.3,,21161,,,,N/A,N/A
COLUMBIA-BASIN-COLLEGE,regional-colleges-west,,WA,Pasco,99301,west,True,public,,Unranked,-2,False,,,,7738,,,,6089,,,,N/A,N/A
COLUMBIA-CENTRAL-UNIVERSITY-CAGUAS,health,,PR,Caguas,,,True,proprietary,,Unranked,-2,False,,,,7830,,,,2217,,,,N/A,N/A
COLUMBIA-COLLEGE-CHICAGO,regional-universities-midwest,,IL,Chicago,60605,midwest,True,private,,#124,124,True,,,95,32214,3.4,,,6424,,,,N/A,N/A
COLUMBIA-COLLEGE-HOLLYWOOD,specialty-arts,,CA,Tarzana,,,True,private,,Unranked,-2,False,,,,26175,,,,493,,,,N/A,N/A
COLUMBIA-COLLEGE-(MO),regional-universities-midwest,,MO,Columbia,65216,midwest,True,private,,#149-164,-1,False,,,,24326,,,,6351,,,,N/A,N/A
COLUMBIA-COLLEGE-(SC),regional-universities-south,,SC,Columbia,29203,south,True,private,,#33,33,True,14,81,98,21450,2.9,,,1173,,850,25628.0,850-1140,14-18
COLUMBIA-INTERNATIONAL-UNIVERSITY,regional-universities-south,,SC,Columbia,29203,south,True,private,,#45,45,True,16,79,48,27900,,,,1001,,990,23010.0,990-1195,16-25
COLUMBIA-UNIVERSITY,national-universities,,NY,New York,10027,,True,private,,#12,12,True,34,,4,65524,,3.8,,8832,,1470,,1470-1570,34-35
COLUMBUS-COLLEGE-OF-ART-AND-DESIGN,specialty-arts,,OH,Columbus,43215,,True,private,,Unranked,-2,False,,,94,38150,,,,976,,,,N/A,N/A
COLUMBUS-STATE-UNIVERSITY,regional-universities-south,,GA,Columbus,31907,south,True,public,,#64,64,True,16,41,99,20662,3.3,,,6022,2.0,820,26997.0,820-1060,16-23
COMMONWEALTH-UNIVERSITY-OF-PENNSYLVANIA,regional-universities-north,,PA,,,north,True,public,,Unranked,-2,False,,,,18919,,,,0,,,,N/A,N/A
COMMUNITY-COLLEGE-OF-DENVER,regional-colleges-west,,CO,Denver,80204,west,True,public,,Unranked,-2,False,,,,16235,,,,7091,,,,N/A,N/A
CONCEPTION-SEMINARY-COLLEGE,faith,,MO,Conception,64433,,True,private,,Unranked,-2,False,,,100,24248,,,,27,,,,N/A,N/A
CONCORDIA-COLLEGE-MOORHEAD,national-liberal-arts-colleges,Concordia College Moorhead Concordia College Moorhead,MN,Moorhead,56562,,True,private,,#146,146,True,21,,66,28916,3.6,,,1827,,1410,,1410-1410,21-28
CONCORDIA-UNIVERSITY-ANN-ARBOR,regional-universities-midwest,,MI,Ann Arbor,48105,midwest,True,private,,Unranked,-2,False,,,63,34250,,,,968,,,,N/A,N/A
CONCORDIA-UNIVERSITY-CHICAGO,regional-universities-midwest,,IL,River Forest,60305,midwest,True,private,,#101,101,True,,,93,36258,3.2,,,1293,,,,N/A,N/A
CONCORDIA-UNIVERSITY-IRVINE,national-universities,,CA,Irvine,92612,,True,private,,#345,345,True,21,,69,41390,3.6,,,1699,,1030,,1030-1260,21-29
CONCORDIA-UNIVERSITY-(NE),regional-universities-midwest,,NE,Seward,68434,midwest,True,private,,#76,76,True,19,72,91,39330,3.6,,,2675,,1000,25481.0,1000-1250,19-25
CONCORDIA-UNIVERSITY-ST.-PAUL,regional-universities-midwest,Concordia University St Paul Concordia University Saint Paul Concordia University St. Paul,MN,St. Paul,55104,midwest,True,private,,#92,92,True,22,,69,25000,3.2,,,3035,,,,N/A,22-28
CONCORDIA-UNIVERSITY-TEXAS,regional-universities-west,,TX,Austin,78726,west,True,private,,#79,79,True,15,,89,35620,,,,1708,,885,,885-1150,15-25
CONCORDIA-UNIVERSITY-WISCONSIN,national-universities,,WI,Mequon,53097,,True,private,,#304,304,True,20,,70,34250,,,,2817,,,,N/A,20-27
CONCORD-UNIVERSITY,regional-universities-south,,WV,Athens,24712,south,True,public,,#86,86,True,18,,91,20600,3.4,,,1399,,890,,890-1140,18-23
CONNECTICUT-COLLEGE,national-liberal-arts-colleges,,CT,New London,06320,,True,private,,#46,46,True,30,49,40,64812,3.8,,,1948,,1360,35116.0,1360-1490,30-33
CONVERSE-UNIVERSITY,regional-universities-south,,SC,Spartanburg,29302,south,True,private,,#23,23,False,,,82,23096,,,,804,,,,N/A,N/A
COOPER-UNION-FOR-THE-ADVANCEMENT-OF-SCIENCE-AND-ART,regional-colleges-north,,NY,New York,10003,north,True,private,,#2,2,False,32,61,22,46820,3.7,3.9,,899,,1380,23848.0,1380-1530,32-35
COPPIN-STATE-UNIVERSITY,regional-universities-north,,MD,Baltimore,21216,north,True,public,,#151-167,-1,False,13,,45,13789,,,,1757,,860,,860-1040,13-21
CORBAN-UNIVERSITY,regional-universities-west,,OR,Salem,97301,west,True,private,,#71,71,False,21,,38,35767,,,,886,,1003,,1003-1165,21-26
CORNELL-COLLEGE,national-liberal-arts-colleges,,IA,Mount Vernon,52314,,True,private,,#116,116,True,23,,79,50634,3.6,2.3,,1060,,1170,,1170-1380,23-30
CORNELL-UNIVERSITY,national-universities,,NY,Ithaca,14853,,True,private,,#12,12,True,33,47,7,66014,,4.3,,15735,4.2,1470,30883.0,1470-1570,33-35
CORNERSTONE-UNIVERSITY,regional-universities-midwest,,MI,Grand Rapids,49525,midwest,True,private,,#60,60,True,21,69,82,29100,3.6,,,1433,,980,24404.0,980-1230,21-27
CORNISH-COLLEGE-OF-THE-ARTS,specialty-arts,,WA,Seattle,98121,,True,private,,Unranked,-2,False,,,64,36844,,,,455,,,,N/A,N/A
COTTEY-COLLEGE,regional-colleges-midwest,,MO,Nevada,64772,midwest,True,private,,#6,6,False,1,,80,24960,3.5,,,311,,,,N/A,1-24
COVENANT-COLLEGE,national-liberal-arts-colleges,,GA,Lookout Mountain,30750,,True,private,,#135,135,True,24,,84,40414,3.8,,,846,,1140,,1140-1380,24-32
COX-COLLEGE,health,,MO,Springfield,65802,,True,private,,Unranked,-2,False,,,39,13396,,,,749,,,,N/A,N/A
CREIGHTON-UNIVERSITY,national-universities,,NE,Omaha,68178,,True,private,,#124,124,True,24,41,76,47000,3.9,,,4290,3.0,1208,36162.0,1208-1420,24-31
CRISWELL-COLLEGE,regional-colleges-west,,TX,Dallas,75246,west,True,private,,#4,4,False,,,100,13350,,,,122,,1090,,1090-1150,N/A
CROWLEY'S-RIDGE-COLLEGE,regional-colleges-south,,AR,Paragould,72450,south,True,private,,#47,47,True,,,,15000,,,,197,,,,N/A,N/A
CROWN-COLLEGE,regional-universities-midwest,,MN,St. Bonifacius,55375,midwest,True,private,,#137,137,False,,,65,30200,,,,1139,,,,N/A,N/A
CULINARY-INSTITUTE-OF-AMERICA,specialty-arts,CIA,NY,Hyde Park,12538,,True,private,,Unranked,-2,False,,,98,36620,3.3,,,3005,,,,N/A,N/A
CULVER-STOCKTON-COLLEGE,regional-colleges-midwest,Culver Stockton College,MO,Canton,63435,midwest,True,private,,#36,36,True,18,78,97,29915,3.4,,,900,,850,24315.0,850-1110,18-21
CUMBERLAND-UNIVERSITY,regional-universities-south,,TN,Lebanon,37087,south,True,private,,#85,85,False,17,,64,27840,3.3,,,2311,,920,,920-1160,17-23
CUNY-BARUCH-COLLEGE,regional-universities-north,CUNY Baruch College CUNY Baruch College,NY,New York,10010,north,True,public,,#9,9,False,,2,50,19131,3.6,,,15896,3.2,962,36143.0,962-1418,N/A
CUNY-BROOKLYN-COLLEGE,regional-universities-north,CUNY Brooklyn College CUNY Brooklyn College,NY,Brooklyn,11210,north,True,public,,#38,38,False,,,55,19110,3.4,,,11661,2.3,,,N/A,N/A
CUNY-CITY-COLLEGE,national-universities,CUNY City College CUNY City College,NY,New York,10031,,True,public,,#105,105,True,,32,62,19010,3.4,2.4,,11929,,,39436.0,N/A,N/A
CUNY-COLLEGE-OF-STATEN-ISLAND,regional-universities-north,CUNY College of Staten Island CUNY College of Staten Island,NY,Staten Island,10314,north,True,public,,#104,104,True,,,93,26209,3.1,2.3,,9290,,,,N/A,N/A
CUNY-HUNTER-COLLEGE,regional-universities-north,CUNY Hunter College CUNY Hunter College,NY,New York,10021,north,True,public,,#21,21,True,,,48,19050,3.7,,,17256,,,,N/A,N/A
CUNY-JOHN-JAY-COLLEGE-OF-CRIMINAL-JUSTICE,regional-universities-north,CUNY John Jay College of Criminal Justice CUNY John Jay College of Criminal Justice,NY,New York,10019,north,True,public,,#17,17,True,,,51,19140,3,,,12019,,,,N/A,N/A
CUNY-LEHMAN-COLLEGE,regional-universities-north,CUNY Lehman College CUNY Lehman College,NY,Bronx,10468,north,True,public,,#27,27,True,,,42,15360,,,,12459,,,,N/A,N/A
CUNY-NEW-YORK-CITY-COLLEGE-OF-TECHNOLOGY,regional-colleges-north,CUNY New York City College of Technology CUNY New York City College of Technology,NY,Brooklyn,11201,north,True,public,,#22,22,False,,,82,15270,,,,13087,,,,N/A,N/A
CUNY-QUEENS-COLLEGE,regional-universities-north,CUNY Queens College CUNY Queens College,NY,Queens,11367,north,True,public,,#45,45,True,,32,69,19208,3.4,,,14406,,,32913.0,N/A,N/A
CURRY-COLLEGE,regional-universities-north,,MA,Milton,02186,north,True,private,,#137,137,True,,,88,45820,3,,,1835,,1083,,1083-1165,N/A
CURTIS-INSTITUTE-OF-MUSIC,specialty-arts,,PA,Philadelphia,19103,,True,private,,Unranked,-2,False,,,5,5930,,,,109,,,,N/A,N/A
CYPRESS-COLLEGE,regional-colleges-west,,CA,Cypress,90630,west,True,public,,Unranked,-2,False,,,,9090,,,,13406,,,,N/A,N/A
DAEMEN-UNIVERSITY,national-universities,,NY,Amherst,14226,,True,private,,#345,345,True,,,73,33724,3.6,,,1782,,1123,,1123-1205,N/A
DAKOTA-STATE-UNIVERSITY,regional-universities-midwest,,SD,Madison,57042,midwest,True,public,,#95,95,True,19,,80,12734,3.3,,,2757,,940,,940-1240,19-27
DAKOTA-WESLEYAN-UNIVERSITY,regional-colleges-midwest,,SD,Mitchell,57301,midwest,True,private,,#23,23,True,18,76,75,32890,3.4,,,723,,950,25178.0,950-1420,18-24
DALLAS-BAPTIST-UNIVERSITY,national-universities,,TX,Dallas,75211,,True,private,,#376,376,True,19,,91,38140,3.5,,,2968,,970,,970-1200,19-25
DALTON-STATE-COLLEGE,regional-colleges-south,,GA,Dalton,30720,south,True,public,,#41,41,True,,,,10189,,,,4525,< 2.0,,,N/A,N/A
DARTMOUTH-COLLEGE,national-universities,,NH,Hanover,03755,,True,private,,#18,18,True,33,50,6,65511,,3.1,,4458,,1500,21020.0,1500-1580,33-35
DAVENPORT-UNIVERSITY,regional-universities-midwest,,MI,Grand Rapids,49512,midwest,True,private,,#133,133,True,,,99,22244,,,,4352,,,,N/A,N/A
DAVIDSON-COLLEGE,national-liberal-arts-colleges,,NC,Davidson,28035,,True,private,,#16,16,True,31,51,17,60050,3.8,,,1927,,1350,22717.0,1350-1500,31-33
DAVIS-AND-ELKINS-COLLEGE,regional-colleges-south,Davis & Elkins,WV,Elkins,26241,south,True,private,,#23,23,False,,,78,30680,,,,661,,,,N/A,N/A
DAVIS-COLLEGE,faith,,NY,Bible School Park,13737,,True,private,,Unranked,-2,False,,,100,17200,,,,147,,,,N/A,N/A
DAYTONA-STATE-COLLEGE,regional-colleges-south,,FL,Daytona Beach,32114,south,True,public,,Unranked,-2,False,,,,11994,,,,11613,,,,N/A,N/A
DEAN-COLLEGE,regional-colleges-north,,MA,Franklin,02038,north,True,private,,#29,29,True,,,75,43400,3.1,,,1189,,,,N/A,N/A
DEFIANCE-COLLEGE,regional-colleges-midwest,,OH,Defiance,43512,midwest,True,private,,#50,50,False,16,,63,38778,,,,479,,810,,810-1000,16-22
DELAWARE-STATE-UNIVERSITY,regional-universities-north,,DE,Dover,19901,north,True,public,,#111,111,True,20,,55,18280,3.2,,,4996,2.2,830,,830-1050,20-24
DELAWARE-TECHNICAL-COMMUNITY-COLLEGE-TERRY,regional-colleges-north,,DE,Dover,19901,north,True,public,,Unranked,-2,False,,,,11808,,,,12402,,,,N/A,N/A
DELAWARE-VALLEY-UNIVERSITY,regional-universities-north,,PA,Doylestown,18901,north,True,private,,#143,143,True,27,,95,43300,,,,1777,,1060,,1060-1230,27-29
DELTA-STATE-UNIVERSITY,regional-universities-south,,MS,Cleveland,38733,south,True,public,,#55,55,True,17,13,99,8605,3.5,,,1889,,940,16407.0,940-1280,17-24
DENISON-UNIVERSITY,national-liberal-arts-colleges,,OH,Granville,43023,,True,private,,#39,39,True,29,56,22,64000,,,,2330,,1270,34101.0,1270-1460,29-32
DENVER-COLLEGE-OF-NURSING,health,,CO,Denver,,,True,proprietary,,Unranked,-2,False,,,,12414,,,,1046,,,,N/A,N/A
DEPAUL-UNIVERSITY,national-universities,,IL,Chicago,60604,,True,private,,#151,151,True,24,68,70,44460,3.8,,,14134,3.0,1070,36400.0,1070-1300,24-30
DEPAUW-UNIVERSITY,national-liberal-arts-colleges,,IN,Greencastle,46135,,True,private,,#46,46,True,24,50,66,57070,3.9,,,1752,,1140,30293.0,1140-1360,24-31
DEREE-THE-AMERICAN-COLLEGE-OF-GREECE,unranked,DEREE The American College of Greece,,Athens,,,True,private,,Unranked,-2,False,,,83,,,,,3982,,,,N/A,N/A
DESALES-UNIVERSITY,national-universities,,PA,Center Valley,18034,,True,private,,#280,280,True,23,,77,44800,3.4,,,2231,,1100,,1100-1280,23-29
DESIGN-INSTITUTE-OF-SAN-DIEGO,specialty-arts,,CA,San Diego,,,True,proprietary,,Unranked,-2,False,,,100,27875,,,,119,,,,N/A,N/A
DEVRY-UNIVERSITY,regional-universities-midwest,DeVry University Chicago,IL,Lisle,60532,midwest,True,proprietary,,#149-164,-1,False,,,46,17488,,,,19866,,,,N/A,N/A
DHARMA-REALM-BUDDHIST-UNIVERSITY,unranked,,CA,Ukiah,95482,,True,private,,Unranked,-2,False,,,55,21000,3.4,,,14,,,,N/A,N/A
DICKINSON-COLLEGE,national-liberal-arts-colleges,,PA,Carlisle,17013,,True,private,,#46,46,True,29,62,35,63450,,,,2125,,1260,32317.0,1260-1426,29-32
DICKINSON-STATE-UNIVERSITY,regional-colleges-midwest,,ND,Dickinson,58601,midwest,True,public,,#49,49,False,16,,72,11218,3.2,,,1411,,875,,875-1130,16-21
DIGIPEN-INSTITUTE-OF-TECHNOLOGY,unranked,,WA,Redmond,98052,,True,proprietary,,Unranked,-2,False,,,46,35900,,,,1138,,,,N/A,N/A
DILLARD-UNIVERSITY,national-liberal-arts-colleges,,LA,New Orleans,70122,,True,private,,#159,159,True,19,,80,22594,3.4,,,1224,,988,,988-1176,19-25
DINE-COLLEGE,tribal,,AZ,Tsaile,,,True,public,,Unranked,-2,False,,,,1410,,,,1315,,,,N/A,N/A
DIVINE-WORD-COLLEGE,national-liberal-arts-colleges,,IA,Epworth,52045,,True,private,,Unranked,-2,False,,,100,14620,,,,67,,,,N/A,N/A
DOANE-UNIVERSITY,regional-universities-midwest,,NE,Crete,68333,midwest,True,private,,#84,84,True,18,,76,40491,3.6,< 2.0,,990,,900,,900-1135,18-24
DOMINICAN-UNIVERSITY,regional-universities-midwest,,IL,River Forest,60305,midwest,True,private,,#11,11,True,16,79,90,37694,3.8,,,2136,2.1,890,23528.0,890-1140,16-22
DOMINICAN-UNIVERSITY-NEW-YORK,national-universities,,NY,Orangeburg,10962,,True,private,,#369,369,True,,,89,33060,3,,,1097,,953,,953-1178,N/A
DOMINICAN-UNIVERSITY-OF-CALIFORNIA,regional-universities-west,,CA,San Rafael,94901,west,True,private,,#18,18,True,23,75,93,50647,3.7,,,1157,2.1,1088,38887.0,1088-1236,23-25
DONNELLY-COLLEGE,regional-colleges-midwest,,KS,Kansas City,66102,midwest,True,private,,#41,41,True,,,,8736,,,,358,,,,N/A,N/A
DORDT-UNIVERSITY,regional-universities-midwest,,IA,Sioux Center,51250,midwest,True,private,,#8,8,False,21,61,71,35960,3.7,2.7,,1585,,1030,27957.0,1030-1260,21-28
DRAKE-UNIVERSITY,national-universities,,IA,Des Moines,50311,,True,private,,#178,178,True,25,59,67,50114,3.7,,,2835,2.5,1110,35952.0,1110-1340,25-30
DREW-UNIVERSITY,national-liberal-arts-colleges,,NJ,Madison,07940,,True,private,,#93,93,True,26,,73,43824,3.5,,,1549,,1120,,1120-1340,26-28
DREXEL-UNIVERSITY,national-universities,,PA,Philadelphia,19104,,True,private,,#98,98,True,27,59,80,60663,3.8,3.1,,12482,3.1,1230,46386.0,1230-1430,27-32
DRURY-UNIVERSITY,regional-universities-midwest,,MO,Springfield,65802,midwest,True,private,,#26,26,True,22,65,63,35435,3.8,,,1375,< 2.0,1150,24399.0,1150-1360,22-28
DUKE-UNIVERSITY,national-universities,,NC,Durham,27708,,True,private,,#7,7,True,34,38,6,66172,,3.8,,6640,,1490,27416.0,1490-1570,34-35
DUNWOODY-COLLEGE-OF-TECHNOLOGY,regional-colleges-midwest,,MN,Minneapolis,55403,midwest,True,private,,#53,53,True,17,,88,25659,2.9,< 2.0,,1359,,,,N/A,17-22
DUQUESNE-UNIVERSITY,national-universities,,PA,Pittsburgh,15282,,True,private,,#151,151,True,25,64,87,47146,3.9,2.6,,5095,2.6,1160,35380.0,1160-1330,25-31
D'YOUVILLE-UNIVERSITY,national-universities,DYouville College,NY,Buffalo,14201,,True,private,,#320,320,True,21,,94,33540,3.3,,,1399,,1030,,1030-1225,21-26
EAGLE-GATE-COLLEGE-MURRAY,unranked,,UT,,,,True,proprietary,,Unranked,-2,False,,,,17112,,,,285,,,,N/A,N/A
EARLHAM-COLLEGE,national-liberal-arts-colleges,,IN,Richmond,47374,,True,private,,#100,100,True,24,81,73,51840,3.7,,,612,,1130,24721.0,1130-1380,24-32
EAST-CAROLINA-UNIVERSITY,national-universities,ECU,NC,Greenville,27858,,True,public,,#195,195,True,18,65,92,23602,3.3,2.8,,21688,2.4,1040,31609.0,1040-1240,18-24
EAST-CENTRAL-UNIVERSITY,regional-universities-west,,OK,Ada,74820,west,True,public,,#95,95,True,17,,70,16555,3.5,,,2733,,881,,881-960,17-22
EASTERN-CONNECTICUT-STATE-UNIVERSITY,regional-universities-north,,CT,Willimantic,06226,north,True,public,,#69,69,True,16,48,74,16624,3.4,,,3926,,980,25493.0,980-1190,16-28
EASTERN-FLORIDA-STATE-COLLEGE,regional-colleges-south,,FL,Cocoa,32922,south,True,public,,Unranked,-2,False,,,,9739,,,,12677,,,,N/A,N/A
EASTERN-ILLINOIS-UNIVERSITY,regional-universities-midwest,,IL,Charleston,61920,midwest,True,public,,#60,60,True,17,18,68,15528,3.4,,,6916,2.0,900,22216.0,900-1120,17-23
EASTERN-INTERNATIONAL-COLLEGE-JERSEY-CITY,health,,NJ,Jersey City,,,True,proprietary,,Unranked,-2,False,,,,18046,,,,369,,,,N/A,N/A
EASTERN-KENTUCKY-UNIVERSITY,national-universities,,KY,Richmond,40475,,True,public,,#352,352,True,17,,98,20222,3.3,,,12072,2.0,940,,940-1185,17-24
EASTERN-MENNONITE-UNIVERSITY,regional-universities-south,,VA,Harrisonburg,22802,south,True,private,,#47,47,True,25,,95,40990,,< 2.0,,958,,1040,,1040-1590,25-34
EASTERN-MICHIGAN-UNIVERSITY,national-universities,EMU,MI,Ypsilanti,48197,,True,public,,#376,376,True,18,,83,15170,3.3,2.8,,11617,2.2,930,,930-1180,18-25
EASTERN-NAZARENE-COLLEGE,regional-universities-north,,MA,Quincy,02170,north,True,private,,#151-167,-1,False,18,,64,27990,,,,492,,960,,960-1315,18-26
EASTERN-NEW-MEXICO-UNIVERSITY,regional-universities-west,,NM,Portales,88130,west,True,public,,#91,91,True,16,,33,8843,,,,3756,,860,,860-1100,16-22
EASTERN-OREGON-UNIVERSITY,regional-universities-west,,OR,La Grande,97850,west,True,public,,#84,84,True,,,99,23516,3.4,,,2415,,,,N/A,N/A
EASTERN-UNIVERSITY,regional-universities-north,,PA,St. Davids,19087,north,True,private,,#141,141,True,,,97,37420,3.2,,,1848,,,,N/A,N/A
EASTERN-WASHINGTON-UNIVERSITY,regional-universities-west,,WA,Cheney,99004,west,True,public,,#49,49,False,,,97,27299,,2.3,,8217,2.0,,,N/A,N/A
EAST-GEORGIA-STATE-COLLEGE,regional-colleges-south,,GA,Swainsboro,30401,south,True,public,,Unranked,-2,False,,,,9088,,,,2008,,,,N/A,N/A
EAST-STROUDSBURG-UNIVERSITY,regional-universities-north,,PA,East Stroudsburg,18301,north,True,public,,#135,135,True,16,,87,18346,3.2,,,4401,,930,,930-1160,16-23
EAST-TENNESSEE-STATE-UNIVERSITY,national-universities,ETSU,TN,Johnson City,37614,,True,public,,#320,320,True,19,,85,13484,3.5,2.3,,10553,2.0,980,,980-1190,19-26
EAST-TEXAS-BAPTIST-UNIVERSITY,regional-universities-west,,TX,Marshall,75670,west,True,private,,#84,84,True,18,,68,29900,3.5,,,1579,,960,,960-1170,18-25
EAST-WEST-UNIVERSITY,national-liberal-arts-colleges,East West University,IL,Chicago,60605,,True,private,,#186-204,-1,False,,,,23400,,,,487,,,,N/A,N/A
ECKERD-COLLEGE,national-liberal-arts-colleges,,FL,St. Petersburg,33711,,True,private,,#130,130,True,23,,65,50374,,,,1993,,1107,,1107-1300,23-29
ECPI-UNIVERSITY,regional-universities-south,,VA,Virginia Beach,23462,south,True,proprietary,,#110,110,True,,,83,17479,,,,11399,,,,N/A,N/A
EDGEWOOD-COLLEGE,national-universities,,WI,Madison,53711,,True,private,,#296,296,True,,,95,33550,,,,1233,,,,N/A,N/A
EDMONDS-COMMUNITY-COLLEGE,regional-colleges-west,,WA,Lynnwood,98036,west,True,public,,Unranked,-2,False,,,,10104,,,,5606,,,,N/A,N/A
EDP-UNIVERSITY-OF-PUERTO-RICO-INC-SAN-JUAN,regional-colleges-south,,PR,San Juan,00919,south,True,private,,#29,29,False,,,43,6900,,,,1246,,,,N/A,N/A
EDWARD-WATERS-UNIVERSITY,regional-colleges-south,,FL,Jacksonville,32209,south,True,private,,#66,66,False,,,80,14878,,,,2840,,,,N/A,N/A
ELIZABETH-CITY-STATE-UNIVERSITY,regional-colleges-south,,NC,Elizabeth City,27909,south,True,public,,#28,28,True,14,,74,10956,3,,,2033,< 2.0,840,,840-1080,14-23
ELIZABETHTOWN-COLLEGE,regional-universities-north,,PA,Elizabethtown,17022,north,True,private,,#39,39,True,25,69,81,36842,3.7,2.8,,1737,,1070,28999.0,1070-1280,25-30
ELMHURST-UNIVERSITY,regional-universities-midwest,,IL,Elmhurst,60126,midwest,True,private,,#6,6,True,20,76,76,41628,3.6,,,3027,,980,28452.0,980-1240,20-27
ELMIRA-COLLEGE,regional-colleges-north,,NY,Elmira,14901,north,True,private,,#7,7,False,20,83,82,39712,3.3,,,609,,1118,26128.0,1118-1272,20-30
ELMS-COLLEGE,regional-universities-north,,MA,Chicopee,01013,north,True,private,,#60,60,True,,88,91,42060,3.4,,,980,,1070,38101.0,1070-1300,N/A
ELON-UNIVERSITY,national-universities,,NC,Elon,27244,,True,private,,#133,133,True,25,30,74,44536,3.9,2.5,,6337,2.8,1170,41336.0,1170-1360,25-30
EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY-DAYTONA-BEACH,regional-universities-south,Embry Riddle Aeronautical University,FL,Daytona Beach,32114,south,True,private,,#6,6,False,23,,65,42304,,2.7,,7177,,1140,,1140-1340,23-29
EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY-PRESCOTT,regional-colleges-west,Embry-Riddle Aeronautical University Prescott,AZ,Prescott,86301,west,True,private,,#1,1,False,24,,68,42204,,3.5,,3120,,1170,,1170-1380,24-31
